seq,stamp,pose_source,f2f_init_used,map_converged,map_degenerate,map_score,f2f_init_score,map_conf_raw,map_conf,f2f_conf,w_f2f_t,w_f2f_r,w_f2f_ax,w_f2f_nonax,prior_mult,prior_hit_ratio,prior_avg_conf,prior_core_hit_ratio,prior_band_hit_ratio,prior_inner_hit_ratio,wall_ratio_inner,wall_relief_inner,wall_r,wall_r_axial_scale,inc_unknown_ratio,inc_stable_ratio,r_inc_static,inc_static_axial_scale,px,py,pz,qw,qx,qy,qz
35,4.410000000,fused_map_f2f,1,1,0,0.005912371,0.009802325,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.392385364,0.030615095,0.750629842,0.999997616,-0.000022371,0.000079131,0.002170749
36,4.536000000,fused_map_f2f,1,1,0,0.008710833,0.011531507,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.492693543,0.031300820,0.750387907,0.999997914,0.000047483,0.000032224,0.002046555
37,4.619000000,fused_map_f2f,1,1,0,0.006541908,0.008721128,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.558581471,0.031397879,0.750481844,0.999998033,0.000012506,0.000050250,0.001980314
38,4.729000000,fused_map_f2f,1,1,0,0.006659977,0.010262904,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.646666706,0.030763742,0.750413716,0.999998212,-0.000010602,0.000026301,0.001891239
39,4.806000000,fused_map_f2f,1,1,0,0.008597011,0.008140569,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.708291471,0.031079428,0.750402570,0.999998212,0.000010080,0.000032629,0.001874936
40,4.926000000,fused_map_f2f,1,1,0,0.005706978,0.011568688,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.803012908,0.031071926,0.750523388,0.999998391,-0.000005209,0.000054450,0.001803082
41,5.011000000,fused_map_f2f,1,1,0,0.007945433,0.008433438,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.874835789,0.030903606,0.750350356,0.999998510,0.000026398,0.000038871,0.001733558
42,5.119000000,fused_map_f2f,1,1,0,0.006310461,0.010302015,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.960421085,0.031603537,0.750674903,0.999998450,0.000113091,0.000040375,0.001743454
43,5.202000000,fused_map_f2f,1,1,0,0.005967593,0.008719670,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.027141333,0.031746745,0.750669479,0.999998569,0.000095124,0.000049041,0.001692943
44,5.313000000,fused_map_f2f,1,1,0,0.008192937,0.011511820,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.119784236,0.032238297,0.750216126,0.999998450,0.000084765,0.000047752,0.001754371
45,5.430000000,fused_map_f2f,1,1,0,0.005650495,0.011443126,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.212444544,0.031448837,0.750889897,0.999998689,0.000016523,0.000028237,0.001619325
46,5.504000000,fused_map_f2f,1,1,0,0.007831325,0.008382889,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.274491310,0.031639427,0.750978887,0.999998689,0.000036477,0.000029558,0.001624835
47,5.618000000,fused_map_f2f,1,1,0,0.005970088,0.010474394,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.365845680,0.031651620,0.751301825,0.999998808,0.000032066,0.000040813,0.001547275
48,5.701000000,fused_map_f2f,1,1,0,0.005908928,0.008314147,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.430930138,0.031070355,0.751478970,0.999998808,0.000050674,0.000004639,0.001519674
49,5.814000000,fused_map_f2f,1,1,0,0.007874496,0.011127731,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.522630930,0.032041550,0.752137363,0.999998927,0.000011986,-0.000013176,0.001456413
50,5.927000000,fused_map_f2f,1,1,0,0.005486392,0.010319721,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.613844872,0.031770814,0.751958430,0.999999046,-0.000002022,-0.000002210,0.001375591
51,6.001000000,fused_map_f2f,1,1,0,0.007587533,0.007635467,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.671651959,0.031880245,0.752032399,0.999999106,0.000023444,0.000007512,0.001329552
52,6.107000000,fused_map_f2f,1,1,0,0.005854684,0.009093695,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.762163758,0.031377312,0.752797186,0.999999106,0.000008689,-0.000010415,0.001323211
53,6.233000000,fused_map_f2f,1,1,0,0.007049463,0.012375269,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.863920808,0.031716105,0.752902150,0.999999166,0.000010835,0.000009752,0.001280966
54,6.317000000,fused_map_f2f,1,1,0,0.006994744,0.007018750,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.936447024,0.032905247,0.752860546,0.999999106,0.000086702,-0.000005374,0.001343875
